population,phi,n,b1,b2,N,ch cov b,ch cov phi,fb cov b,fb cov phi,vg cov b,vg cov phi,hy cov b,hy cov phi,ch pow b,ch pow phi,fb pow b,fb pow phi,vg pow b,vg pow phi,hy pow b,hy pow phi,ch wid b,ch wid phi,fb wid b,fb wid phi,vg wid b,vg wid phi,hy wid b,hy wid phi,ch err,fb.err,vg err,hy err
1,3,1000,0.1,2.2,10000,0.999,0.835,0.951,0.981,0.95,0.947,0.951,0.981,1,1,1,1,1,1,1,1,0.715,0.526,0.415,0.893,0.384,0.625,0.415,0.893,0,0,0,0
1,5,1000,0.1,2.2,10000,1,0.746,0.947,0.982,0.948,0.952,0.947,0.982,1,1,1,1,1,1,1,1,1.188,0.873,0.536,1.86,0.458,1.154,0.536,1.86,0,0,0,0
2,3,1000,0.1,2.2,10000,1,0.931,0.951,0.986,0.908,0.147,0.951,0.986,1,1,1,1,1,1,1,1,0.716,0.527,0.414,0.715,0.409,0.759,0.414,0.715,0,0,0,0
2,5,1000,0.1,2.2,10000,1,0.933,0.951,0.991,0.7,0,0.951,0.991,1,1,1,1,1,1,1,1,1.196,0.879,0.536,1.311,0.536,2.036,0.536,1.311,0,0,0,0
3,3,1000,0.1,2.2,10000,0.999,0.932,0.951,0.984,0.905,0.144,0.951,0.984,1,1,1,1,1,1,1,1,0.717,0.527,0.415,0.715,0.409,0.76,0.415,0.715,0,0,0,0
3,5,1000,0.1,2.2,10000,1,0.93,0.95,0.992,0.697,0,0.95,0.992,1,1,1,1,1,1,1,1,1.196,0.879,0.536,1.314,0.536,2.033,0.536,1.314,0,0,0,0
1,1,1000,2.3,0.7,10000,0.95,0.952,0.949,0.954,0.949,0.033,0.95,0.955,1,1,1,1,0.048,0.046,0.967,0.045,0.114,0.176,0.114,0.178,0.116,0.614,0.114,0.176,0,0,0.5394,0
1,3,1000,2.3,0.7,10000,0.999,0.928,0.948,0.967,0.946,0.951,0.999,0.967,1,1,1,1,1,1,1,1,0.342,0.527,0.198,0.62,0.193,0.544,0.342,0.62,0,0,0,0
1,5,1000,2.3,0.7,10000,1,0.9,0.948,0.972,0.949,0.946,1,0.972,1,1,1,1,1,1,1,1,0.572,0.88,0.256,1.168,0.242,0.929,0.572,1.168,0,0,0,0
2,3,1000,2.3,0.7,10000,0.999,0.949,0.948,0.963,0.945,0.828,0.999,0.963,1,1,1,1,1,1,1,1,0.343,0.528,0.198,0.567,0.197,0.571,0.343,0.567,0,0,0,0
2,5,1000,2.3,0.7,10000,1,0.943,0.949,0.964,0.926,0.107,1,0.964,1,1,1,1,1,1,1,1,0.571,0.88,0.256,0.975,0.259,1.101,0.571,0.975,0,0,0,0
3,3,1000,2.3,0.7,10000,0.999,0.947,0.95,0.964,0.946,0.827,0.999,0.964,1,1,1,1,1,1,1,1,0.343,0.528,0.198,0.567,0.197,0.571,0.343,0.567,0,0,0,0
3,5,1000,2.3,0.7,10000,1,0.945,0.947,0.968,0.926,0.11,1,0.968,1,1,1,1,1,1,1,1,0.572,0.881,0.256,0.976,0.259,1.1,0.572,0.976,0,0,0,0
